count,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.0020000000000000005,0.0024000000000000002,0.007,0.025799999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0058000000000000005,0.0252,0.0341,0.040600000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.04136699999982,0.04301399999986,0.057179000000129994,0.09323799999969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_add,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,6,7,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,1,2,1,1,4,7,7,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,2,4,7,7,10,10,10,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,1,5,5,7,7,10,10,9,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.07069999999999999,0.0588,0.1901,0.2619,2.8776,1.5775000000000001,1.3711,2.8493,0.8605999999999999,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,53.31029999999999,107.2208,32.7814,46.6067,95.85499999999999,53.2561,145.03359999999998,219.87259999999998,141.43359999999998,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.039239000000180005,0.04665199999976,0.05707099999998,0.08011200000013,0.10199599999963,0.12234500000002001,0.08138900000016,0.08327200000030001,0.09364400000007,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,7,7,8,9,6,3,3,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_iseven,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,0,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.0023000000000000004,0.0262,0.0309,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0282,0.1334,0.15019999999999997,0.14720000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.022766000000030002,0.01727400000027,0.03022499999996,0.0547100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_max,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
syrupcorrect,0,0,1,3,2,1,7,4,7,7,9,9,10,10,10,10,0,0,0,0,0
burst-correct,0,0,0,0,0,0,0,0,1,0,3,1,1,8,6,9,0,0,0,0,0
smyth-correct,0,0,0,2,0,1,1,3,7,7,9,9,10,10,10,10,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,2,4,8,7,9,9,10,10,10,10,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.029500000000000002,0.41179999999999994,4.817699999999999,46.2518,36.353,163.7369,110.0839,118.71039999999999,162.23739999999995,38.1938,89.26509999999999,23.2262,11.337299999999999,4.688299999999999,3.7201,0,0,0,0,0
burst-time,0,0.23859999999999998,36.2564,0.40359999999999996,0.8505,13.630500000000001,2.2664,5.7559,41.8993,13.7021,102.7843,63.6387,30.9629,247.6932,107.9297,150.1104,0,0,0,0,0
smyth-time,0,0.042541999999910006,0.07477299999987999,0.2331950000003,0.18148499999994,0.11270199999988,30.72383699999993,50.428991000000195,1.3684589999999,2.4247129999998998,1.4451650000003,1.84059699999978,1.6424220000001002,0.8195329999999,1.0883949999999,0.956329,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,2,5,3,4,8,6,8,9,7,8,9,2,4,1,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_pred,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,0,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.09440000000000001,0.06160000000000001,0.0652,0.0063999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.025100000000000004,0.0257,0.040400000000000005,0.044700000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.02203200000008,0.015278999999960002,0.01934299999993,0.03210299999954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_hd,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,0,7,9,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,3,7,8,7,10,10,10,9,10,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,3,7,8,7,10,10,10,9,10,0,0,0,0,0,0,0,0,0,0
