cardinality of set,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
smyth-nosol,0,0,5,3,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.017499999999999998,0.32889999999999997,1.0754000000000001,2.3445999999999994,9.2286,34.0361,29.937900000000003,51.2474,16.4798,6.924799999999999,3.2345,3.1842,0.1769,0,0,0,0,0,0,0
naive-time,0,0.0185,0.31379999999999997,0.9504999999999999,2.2852,9.126500000000002,34.027699999999996,29.856900000000003,51.528000000000006,16.422900000000002,6.812200000000001,3.1575,3.1994000000000007,0.1779,0,0,0,0,0,0,0
burst-time,0,0.2504,0.8052,88.9536,20.7876,37.2053,53.644,31.255399999999995,57.1653,25.4768,2.6904,1.8130000000000002,0.7903000000000001,0.0669,0,0,0,0,0,0,0
smyth-time,0,0.0362650000002,0.02075099999979,0.044108000000049996,0.06155900000002,0.19550599999975,0.41908200000030005,0.4967430000002,0.5364259999998999,0.6931350000001,0.6754519999994,0.9325510000003,0.9644700000001,0.109731,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_sum,,,,,,,,,,,,,,,,,,,,,
count,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.020900000000000002,0.0235,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0213,0.0238,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.10590000000000001,0.2177,0.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.0868360000002,0.0862789999998,0.028491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_length,,,,,,,,,,,,,,,,,,,,,
count,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0194,0.019,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.019799999999999998,0.0191,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0482,0.06670000000000001,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.00941599999988,0.00787300000002,0.00394800000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_even_parity,,,,,,,,,,,,,,,,,,,,,
count,0,7,10,10,10,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,1,3,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,1,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,3,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0553,0.0892,0.2426,0.40220000000000006,0.34519999999999995,0.17920000000000003,0.0148,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.056,0.09490000000000001,0.42229999999999995,0.867,0.8481,0.4759,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0092,0.0494,0.1505,0.30660000000000004,0.38280000000000003,0.25429999999999997,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.01320299999997,0.01466000000004,0.01942600000006,0.039357000000120004,0.07179599999992,0.16612299999991,0.0380290000001,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_inc,,,,,,,,,,,,,,,,,,,,,
count,0,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0341,0.07579999999999999,0.060300000000000006,0.0161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0345,0.0765,0.0608,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.362,0.4419,0.10490000000000001,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.0559880000001,0.0696299999997,0.047717000000199995,0.0120219999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_stutter,,,,,,,,,,,,,,,,,,,,,
count,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0179,0.026099999999999998,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0181,0.0264,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,6.9151,16.9514,1.4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.00773699999991,0.008104,0.00299399999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_snoc,,,,,,,,,,,,,,,,,,,,,
count,0,8,10,10,10,10,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,6,9,9,10,10,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,6,9,9,10,10,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,4,8,8,10,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,1,4,8,9,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,1,5,8,10,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.022099999999999998,0.0437,0.05,0.0681,0.057,0.0499,0.0332,0.0037,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0226,0.044700000000000004,0.0499,0.0683,0.0575,0.0509,0.0338,0.0037,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,4.6246,19.3713,13.269800000000004,6.0941,3.6841000000000004,1.0139,0.4567,0.0612,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.039649000000069996,0.10549399999994999,0.17268699999973,0.1138560000001,0.1175749999999,0.1222869999999,0.09900800000019999,0.0128259999999,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_append,,,,,,,,,,,,,,,,,,,,,
count,0,6,10,10,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,2,6,10,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,1,3,7,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,1,3,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,4,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.012199999999999999,0.0287,0.0381,0.037,0.0197,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0126,0.029500000000000002,0.0388,0.037099999999999994,0.019799999999999998,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.21900000000000003,0.6525,1.1199000000000001,0.9010999999999999,0.3704,0.0364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.02611900000011,0.05038000000037,0.07627300000008,0.0747760000004,0.04758200000013,0.00735299999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_compress,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0
syrup-correct,0,0,0,2,1,7,5,5,7,7,9,10,10,1,0,0,0,0,0,0,0
naive-correct,0,0,0,2,0,7,5,4,7,9,9,10,9,1,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,0,0,0,1,4,6,9,9,1,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,8,9,6,5,6,6,6,2,1,1,1,0,0,0,0,0,0,0,0
syrup-time,0,0.2303,5.7635999999999985,31.9271,36.73570000000001,88.2528,103.3736,190.901,202.07999999999998,93.0575,96.00089999999999,60.312200000000004,67.4264,5.3516,0,0,0,0,0,0,0
naive-time,0,0.25780000000000003,10.2068,100.828,71.8566,226.1356,220.433,218.52259999999998,250.7554,164.9156,150.0514,110.96289999999999,99.9076,12.8538,0,0,0,0,0,0,0
burst-time,0,39.6199,66.70090000000002,9.3604,37.664699999999996,47.5039,16.3518,98.8162,150.7287,136.49530000000001,30.3106,93.44340000000001,15.1501,1.0836,0,0,0,0,0,0,0
smyth-time,0,0.03304799999976,0.00849000000017,0.00294600000007,0.921845,2.4209069999999002,19.167537,13.845453999999998,0,32.062428,21.492956,127.646015,100.102074,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,1,5,5,7,6,4,4,2,1,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,1,0,0,4,3,7,4,7,1,0,0,0,0,0,0,0
list_concat,,,,,,,,,,,,,,,,,,,,,
count,0,6,10,10,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,3,6,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,3,6,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,1,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,7,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0076,0.2799,0.4287,0.39749999999999996,0.1969,0.0264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0082,0.28200000000000003,0.4315,0.40259999999999996,0.1975,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.2079,3.3343000000000003,2.3418,1.2565,0.2116,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.04234799999995,0.03147600000012,0.040236000000119995,0.06029099999999,0.04948000000015,0.00989299999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_append,,,,,,,,,,,,,,,,,,,,,
count,0,5,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.4411,0.3476,0.1378,0.040799999999999996,0.0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.4302,0.3508,0.13799999999999998,0.0411,0.0468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.8956,8.9583,17.393199999999997,5.8989,0.1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.035549999999829995,0.06709599999999,29.83009500000002,5.672436,0.115863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_fold,,,,,,,,,,,,,,,,,,,,,
count,0,5,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,2,7,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,3,6,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,2,7,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,2,7,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.014100000000000001,0.0377,0.0417,0.019899999999999998,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.014699999999999998,0.038099999999999995,0.042800000000000005,0.0245,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.2593,0.739,0.6919000000000001,0.23360000000000003,0.0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.1650359999999,0.3336079999996,0.34921700000039996,0.1661450000002,0.033917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_snoc,,,,,,,,,,,,,,,,,,,,,
count,0,5,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,1,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,1,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0942,0.21929999999999997,0.18860000000000002,0.07050000000000001,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0919,0.2226,0.19399999999999998,0.0709,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.6048,1.6905000000000001,1.5493,0.5685,0.0428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.03173199999993,0.05159499999989,0.05948499999994,0.039534999999840004,0.00994999999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_tailcall,,,,,,,,,,,,,,,,,,,,,
count,0,8,10,10,10,10,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,2,2,6,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,3,4,7,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0121,0.09230000000000001,0.09499999999999999,0.1113,0.6307,0.6192000000000001,0.41300000000000003,0.0409,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0119,0.09549999999999999,0.0947,0.11199999999999999,0.6122000000000001,0.6093000000000001,0.41190000000000004,0.0422,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.2137,0.24199999999999997,0.3,0.5138,2.4757,2.2466999999999997,0.6326,0.0516,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.03465600000004,0.03964200000018999,0.07818699999982,0.08632699999997,0.07528699999991001,0.07761499999993002,0.05989499999987,0.00722199999996,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_pairwise_swap,,,,,,,,,,,,,,,,,,,,,
count,0,7,10,10,10,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,6,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.3325,2.0557,12.0498,8.2122,13.061599999999999,5.4056999999999995,0.3466,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.31160000000000004,1.6282999999999999,3.9203999999999994,2.8912,3.6249,1.2257,0.0669,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.3078,10.4869,9.4866,20.737799999999996,10.0832,4.8225,0.1684,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.01302299999997,0.0068920000000999996,0.33389199999977004,0.09479800000012001,0.42364099999964006,1.03433600000002,0.556724,0,0,0,0,0,0,0,0,0,0,0,0,0
