cardinality of set,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0004,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0006,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0002,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.004290000000080001,0.0028749999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_xor,,,,,,,,,,,,,,,,,,,,,
count,0,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0008,0.0017999999999999997,0.0031,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0012,0.002,0.0035000000000000005,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0027,0.011700000000000002,0.0138,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.017010000000020002,0.026125000000100002,0.023667999999809997,0.00960800000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_add,,,,,,,,,,,,,,,,,,,,,
count,0,9,10,10,10,10,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,4,8,10,10,10,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,3,3,7,9,9,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,4,7,9,10,9,1,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,4,8,9,10,9,1,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,6,8,10,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.018099999999999998,0.029300000000000003,0.06359999999999999,0.057699999999999994,0.07390000000000001,0.06879999999999999,0.0638,0.05279999999999999,0.0061,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0188,0.0296,0.06430000000000001,0.058600000000000006,0.0737,0.0702,0.0651,0.0533,0.0061,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0725,5.5784,4.062000000000001,46.2563,29.438699999999997,5.5197,3.2142000000000004,1.1385999999999998,0.0331,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.030958999999949995,0.03991100000008,0.05636600000004,0.07195800000000001,0.06581299999970999,0.06824400000005,0.06795400000009999,0.05835400000002999,0.00651300000004,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_iseven,,,,,,,,,,,,,,,,,,,,,
count,0,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.001,0.0118,0.019,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0014,0.0103,0.015,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.022099999999999998,0.059899999999999995,0.0442,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.00916499999993,0.01113299999997,0.015382000000049998,0.00488100000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_max,,,,,,,,,,,,,,,,,,,,,
count,0,9,10,10,10,10,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,1,7,7,1,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0193,0.0389,0.0458,0.05699999999999999,0.060599999999999994,0.4640000000000001,0.6327,0.4769,0.0377,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0215,0.0385,0.05329999999999999,0.05759999999999999,0.062400000000000004,0.4652,0.6266,0.4865999999999999,0.0381,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.15439999999999998,3.8552000000000004,14.948600000000003,2.2671,83.48459999999999,10.9085,186.1037,127.3095,0.2648,0,0,0,0,0,0,0,0,0,0,0
