cardinality of set,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
smyth-correct,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0,0.0009,0.0031000000000000003,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0,0.006,0.010100000000000001,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0,0.01392499999997,0.018745999999740002,0.00951200000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_add,,,,,,,,,,,,,,,,,,,,,
count,0,0,8,10,10,10,10,10,8,1,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,4,8,8,9,9,10,8,1,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,1,7,8,10,8,1,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,1,7,8,10,8,1,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,7,8,10,10,10,8,1,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0,0.0155,0.035500000000000004,0.0536,0.0505,0.06020000000000001,0.06,0.046400000000000004,0.0058,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0,0.1112,107.2661,17.569100000000002,16.435000000000002,22.3896,1.3013,0.361,0.0249,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0,0.03559799999993,0.058610000000269995,0.06121200000008001,0.06215799999971001,0.062084000000160004,0.06202199999985,0.05029100000001001,0.00628000000006,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_iseven,,,,,,,,,,,,,,,,,,,,,
count,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0,0.0009,0.0113,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0,0.0211,0.044500000000000005,0.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0,0.00863000000004,0.0154399999999,0.00480700000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
